"","Country","Code","Year","Unsafe.water.source..deaths.","Poor.sanitation..deaths.","No.access.to.handwashing.facility..deaths.","Household.air.pollution..deaths.","Outdoor.air.pollution..deaths.","Non.exclusive.breastfeeding..deaths.","Discontinued.breastfeeding..deaths.","Child.wasting..deaths.","Child.stunting..deaths.","Low.birth.weight..deaths.","Secondhand.smoke..deaths.","Alcohol.use..deaths.","Drug.use..deaths.","Diet.low.in.fruits..deaths.","Diet.low.in.vegetables..deaths.","Unsafe.sex..deaths.","Low.physical.activity..deaths.","High.blood.sugar..deaths.","High.cholesterol..deaths.","High.body.mass.index..obesity...deaths.","High.blood.pressure..deaths.","Smoking..deaths.","Iron.deficiency..deaths.","Zinc.deficiency..deaths.","Vitamin.A.deficiency..deaths.","Low.bone.mineral.density..deaths.","Life.expectancy"
"1","Afghanistan","AFG",1990,3089.0862665,2700.12544758,3304.27602015,20372.1169783,12954.4238083,2149.55897835,80.4908516375,19782.2888583,11212.9999505,7841.7055244,2431.42492653,84.5330759081,283.855612369,5938.25167658,5249.97170493,347.403759619,2563.88255661,14071.8061412,9505.53196162,10219.1243397,16788.6044698,6797.08373986,255.091524026,368.81179577,6438.68615676,255.445299358,NA
"2","Afghanistan","AFG",1995,5973.56890582,5215.48449905,4994.06556016,27947.996543,17392.7434959,3023.13213751,142.776896718,24080.1590015,12322.4040157,9722.50575427,3890.17636483,124.36234932,472.764536146,9405.85740483,8317.37354416,510.94262069,3900.89589593,21402.0384748,14674.8043862,14401.8424487,25904.1004324,10589.3769265,358.238728962,775.576000772,6873.53140357,397.462568037,NA
"3","Afghanistan","AFG",2000,6860.70597342,5976.70117721,5513.47442896,31580.5655439,19832.588071,2995.9206396,139.884297523,24426.4327539,12924.6500715,11032.3139048,4748.46392149,107.088022846,618.454568728,11792.9327168,10084.5833723,602.118691735,4693.20889803,26526.4536482,17654.1497702,15905.4269754,31893.0651315,12986.7553653,391.090472968,1334.81190507,7918.39675216,466.519632791,54.8
"4","Afghanistan","AFG",2005,8046.95047819,6985.17623783,6726.2955338,36956.2091663,21961.0199765,3160.64002064,160.08911274,22113.1079584,8354.25286776,12363.4984678,5694.58937293,15.9058373755,864.055008441,14244.7432437,11845.0372826,702.821605219,5619.36091443,32584.1101786,20922.6567002,20540.3057704,38190.1024054,15869.8187985,473.787425168,2286.21995775,1957.20632604,583.340180535,57.3
"5","Afghanistan","AFG",2006,7437.44583826,6446.89106391,6326.12732048,36621.5643255,22157.920036,2981.79475725,146.318718114,21141.3843036,8084.96657741,12136.6346594,5660.14728192,-7.1630669482,903.543924361,14583.0194886,12117.8401607,717.527040266,5772.99206873,33656.468301,21478.0148659,21690.6447796,39159.4277905,16336.5709403,479.86754419,2106.95042536,2121.66544947,594.757734651,57.3
"6","Afghanistan","AFG",2010,3827.13118358,3284.86854085,3605.68807492,31630.5645681,20825.1933417,1817.56864325,64.6825983022,16889.919997,9171.96655719,10820.7411188,5543.46968487,-27.7885309004,1052.24616669,15351.6272455,12803.5677111,756.588404356,6298.70106998,37187.9372596,22978.8818654,25823.7924142,41717.6446764,17676.50263,480.452260677,775.791094102,6307.2874058,661.573759571,58.8
"7","Afghanistan","AFG",2016,3715.73157384,3124.13212844,3798.25783966,34356.4611615,26983.1280514,1849.40171003,72.3580492,12315.5875502,3958.30541843,10754.7307844,6644.75356033,84.5225167329,1428.48003168,17626.486061,14711.4149537,880.600133437,7467.5011384,46058.064458,26789.1737002,30632.5520882,48554.5909839,20951.9156545,435.212980916,985.743523278,678.935841989,799.333927249,NA
"8","Albania","ALB",1990,59.6996947593,44.0258580405,70.9423179282,2158.69735141,1156.26082207,226.373102529,4.31603253287,1233.72200646,293.810378468,285.219617577,702.687385371,415.762858076,51.8162449275,1056.15695448,530.563903706,47.8812527425,375.156191598,720.164125246,1564.58711202,1220.00526793,4190.14182833,2291.46972148,1.5734925364,14.4527957275,14.6312592804,33.999904038,NA
"9","Albania","ALB",1995,37.092436175,28.1496805786,52.0954361062,1994.37502184,1039.69390116,151.654824812,2.2870771802,852.590190664,162.71861904,248.230739339,634.943592323,570.797506169,69.760200687,1114.26577069,434.601796543,49.9618192257,398.234365899,785.56455207,1662.69580785,1347.50598768,4439.60773857,2476.70957399,0.852063864091,13.6820445317,0.330134799003,35.1069613177,NA
"10","Albania","ALB",2000,13.0503199261,9.19435791242,20.9902260121,1793.84151745,1062.26309042,55.6638136213,0.725039296581,322.019198135,86.7375503035,165.082986348,517.498975933,901.556673602,99.4719658481,1217.37684795,405.517249751,56.2015430268,491.46461699,978.045476705,2042.07110296,1703.13169222,5332.90100826,2924.8336651,0.676878714441,4.6466951791,0.0776616800754,36.6102625033,72.6
